person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Male,79,Asian,Not Hispanic or Latino,Doctorate,432208,true,true
2,Female,39,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,122651,false,false
3,Male,40,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,732220,false,false
4,Female,57,White,Hispanic or Latino,Doctorate,1052524,false,true
5,Male,57,Black or African American,Hispanic or Latino,Master,103507,true,true
6,Male,64,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,87942,false,true
7,Male,72,Black or African American,Not Hispanic or Latino,Doctorate,630120,false,false
8,Male,75,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,107697,false,true
9,Female,78,Black or African American,Hispanic or Latino,Doctorate,174295,false,true
10,Female,81,American Indian or Alaska Native,Hispanic or Latino,Master,161436,false,true
11,Female,26,Black or African American,Hispanic or Latino,High School,10976,true,false
12,Male,64,White,Hispanic or Latino,Bachelor,107237,true,false
13,Male,21,American Indian or Alaska Native,Hispanic or Latino,Some College,19821,false,false
14,Male,74,Asian,Not Hispanic or Latino,Doctorate,251190,true,false
15,Male,23,White,Hispanic or Latino,Some College,19550,true,false
16,Female,76,Asian,Hispanic or Latino,Bachelor,107633,false,true
17,Male,55,American Indian or Alaska Native,Not Hispanic or Latino,Master,56833,true,false
18,Female,77,Asian,Not Hispanic or Latino,Master,182384,false,true
19,Female,65,Black or African American,Hispanic or Latino,Doctorate,639531,true,false
20,Male,26,White,Hispanic or Latino,GED,12560,true,true
21,Female,21,Black or African American,Not Hispanic or Latino,Some College,17097,false,true
22,Female,71,White,Hispanic or Latino,Doctorate,829093,false,false
23,Female,60,Asian,Hispanic or Latino,Master,60069,true,false
24,Male,29,White,Hispanic or Latino,Bachelor,73451,false,false
25,Female,69,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,106719,false,true
26,Male,79,Asian,Hispanic or Latino,Doctorate,705127,true,true
27,Female,57,Black or African American,Not Hispanic or Latino,Master,92724,false,true
28,Female,61,White,Not Hispanic or Latino,Doctorate,434042,true,false
29,Male,27,Black or African American,Hispanic or Latino,Bachelor,108192,true,false
30,Male,41,American Indian or Alaska Native,Hispanic or Latino,Bachelor,45952,false,true
31,Female,76,White,Not Hispanic or Latino,Master,119308,false,false
32,Female,65,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,946299,false,false
33,Female,43,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,161498,true,true
34,Female,55,Asian,Hispanic or Latino,Bachelor,53776,true,true
35,Female,22,American Indian or Alaska Native,Not Hispanic or Latino,Some College,19242,true,false
36,Male,23,White,Not Hispanic or Latino,GED,12679,true,false
37,Female,73,Asian,Not Hispanic or Latino,Master,90591,false,true
38,Female,42,Asian,Hispanic or Latino,Doctorate,802059,true,false
39,Female,24,American Indian or Alaska Native,Not Hispanic or Latino,High School,10513,true,true
40,Male,57,Black or African American,Not Hispanic or Latino,Bachelor,77892,false,true
41,Male,58,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,186048,true,true
42,Female,21,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,GED,12855,true,true
43,Male,18,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,GED,13115,true,true
44,Male,73,American Indian or Alaska Native,Not Hispanic or Latino,Master,216499,true,false
45,Male,30,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,120399,false,true
46,Male,48,Asian,Not Hispanic or Latino,Master,204989,false,true
47,Male,28,American Indian or Alaska Native,Hispanic or Latino,Bachelor,53484,true,true
48,Male,22,Black or African American,Not Hispanic or Latino,Some College,15984,true,true
49,Male,68,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,484995,false,true
50,Male,68,Asian,Not Hispanic or Latino,Master,222385,false,true
51,Male,18,Asian,Not Hispanic or Latino,High School,10750,true,false
52,Male,36,Black or African American,Hispanic or Latino,Doctorate,631581,true,false
53,Male,28,American Indian or Alaska Native,Hispanic or Latino,Bachelor,44320,false,false
54,Female,35,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,488178,true,true
55,Male,68,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,44411,false,false
