person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Male,24,Asian,Hispanic or Latino,Some College,19179,true,false
2,Male,31,White,Hispanic or Latino,Doctorate,183821,false,true
3,Male,25,Black or African American,Not Hispanic or Latino,GED,13170,false,false
4,Female,40,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,204347,false,true
5,Female,77,American Indian or Alaska Native,Hispanic or Latino,Master,113025,true,false
6,Female,44,Asian,Not Hispanic or Latino,Doctorate,703375,true,true
7,Male,84,Asian,Not Hispanic or Latino,Doctorate,348881,true,false
8,Male,27,American Indian or Alaska Native,Hispanic or Latino,Some College,19001,true,true
9,Male,50,Asian,Not Hispanic or Latino,Bachelor,57407,false,false
10,Male,42,Black or African American,Hispanic or Latino,Bachelor,107126,false,false
11,Male,25,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,High School,10403,true,false
12,Female,27,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,42105,false,false
13,Female,50,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,139835,true,true
14,Male,55,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,37785,false,true
15,Male,58,American Indian or Alaska Native,Hispanic or Latino,Master,94837,true,false
16,Male,34,White,Hispanic or Latino,Doctorate,537901,false,true
17,Female,83,American Indian or Alaska Native,Not Hispanic or Latino,Master,59087,false,false
18,Male,82,Black or African American,Not Hispanic or Latino,Doctorate,282686,false,false
19,Male,25,Asian,Not Hispanic or Latino,High School,10077,false,false
20,Female,54,White,Not Hispanic or Latino,Bachelor,62748,true,true
21,Male,37,Asian,Not Hispanic or Latino,Doctorate,1031457,true,false
22,Female,52,Asian,Hispanic or Latino,Master,107029,true,true
23,Male,48,White,Not Hispanic or Latino,Doctorate,222038,false,false
24,Male,56,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,60199,true,true
25,Female,49,American Indian or Alaska Native,Not Hispanic or Latino,Master,172122,true,false
26,Female,54,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,952292,false,false
27,Male,82,White,Hispanic or Latino,Bachelor,43155,false,true
28,Female,30,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,115454,true,true
29,Female,61,Asian,Not Hispanic or Latino,Master,72589,true,true
30,Female,46,Asian,Hispanic or Latino,Master,119700,true,true
31,Female,58,White,Not Hispanic or Latino,Bachelor,57074,false,true
32,Male,63,American Indian or Alaska Native,Not Hispanic or Latino,Master,155962,true,true
33,Female,65,Black or African American,Hispanic or Latino,Bachelor,82045,true,false
34,Female,48,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,38815,true,true
35,Female,30,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,97621,true,false
36,Male,76,White,Not Hispanic or Latino,Bachelor,39111,false,true
37,Female,51,White,Not Hispanic or Latino,Bachelor,78229,true,true
38,Male,24,American Indian or Alaska Native,Not Hispanic or Latino,High School,10673,false,false
39,Male,51,Asian,Not Hispanic or Latino,Bachelor,114175,true,true
40,Male,19,American Indian or Alaska Native,Not Hispanic or Latino,High School,10647,false,true
41,Female,44,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,325347,true,true
42,Female,38,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,101818,false,true
43,Female,78,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,37344,true,true
44,Male,78,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,117419,true,false
45,Male,53,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,969558,false,true
46,Female,57,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,178496,false,true
47,Male,56,Asian,Not Hispanic or Latino,Doctorate,708015,false,true
48,Female,41,Black or African American,Hispanic or Latino,Bachelor,90472,true,false
49,Female,24,White,Hispanic or Latino,GED,13032,true,false
50,Female,78,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,97311,false,false
51,Female,46,Asian,Not Hispanic or Latino,Doctorate,1059283,true,false
52,Male,38,White,Hispanic or Latino,Bachelor,89657,false,false
53,Male,54,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,103003,false,false
54,Female,24,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,High School,10728,true,false
55,Female,23,Asian,Hispanic or Latino,High School,10054,false,false
56,Male,51,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,128727,true,true
57,Female,30,Asian,Not Hispanic or Latino,Doctorate,247999,true,true
58,Female,39,White,Hispanic or Latino,Master,80294,false,true
59,Male,30,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,821666,true,false
60,Male,30,White,Hispanic or Latino,Doctorate,530648,true,false
61,Male,74,White,Hispanic or Latino,Doctorate,299541,true,true
62,Female,25,American Indian or Alaska Native,Hispanic or Latino,High School,10061,false,true
63,Male,29,American Indian or Alaska Native,Hispanic or Latino,Some College,17385,true,true
64,Male,31,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,337014,true,true
65,Male,25,Asian,Hispanic or Latino,GED,12326,true,true
66,Male,29,Asian,Hispanic or Latino,Some College,17968,false,true
67,Female,83,American Indian or Alaska Native,Hispanic or Latino,Master,74757,false,true
68,Male,81,Black or African American,Not Hispanic or Latino,Bachelor,80867,false,true
69,Female,78,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,213876,true,false
70,Male,44,Black or African American,Hispanic or Latino,Master,63860,true,true
71,Female,48,American Indian or Alaska Native,Hispanic or Latino,Bachelor,59814,false,false
72,Female,82,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,74218,false,false
73,Female,33,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,154890,true,true
74,Male,60,Black or African American,Not Hispanic or Latino,Bachelor,30106,false,false
75,Female,26,Asian,Not Hispanic or Latino,Some College,16537,false,false
76,Female,69,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,59556,false,true
77,Male,40,White,Hispanic or Latino,Doctorate,207376,false,true
78,Female,65,White,Not Hispanic or Latino,Doctorate,401086,true,true
79,Male,30,Asian,Not Hispanic or Latino,Bachelor,55142,true,false
80,Female,35,Asian,Not Hispanic or Latino,Bachelor,56650,true,true
81,Female,40,Black or African American,Not Hispanic or Latino,Doctorate,149087,true,true
82,Female,39,Asian,Hispanic or Latino,Doctorate,918650,false,true
83,Female,67,Asian,Not Hispanic or Latino,Doctorate,172137,true,true
84,Female,82,White,Hispanic or Latino,Bachelor,82982,false,false
85,Female,43,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,42366,false,false
86,Female,20,Asian,Not Hispanic or Latino,GED,12717,true,true
87,Male,59,Black or African American,Not Hispanic or Latino,Doctorate,934904,true,true
88,Female,33,Black or African American,Hispanic or Latino,Doctorate,681137,true,false
89,Female,62,Black or African American,Hispanic or Latino,Bachelor,46295,true,false
90,Male,24,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some College,18242,true,true
91,Female,79,White,Not Hispanic or Latino,Doctorate,333475,true,false
92,Female,82,Black or African American,Hispanic or Latino,Master,126086,false,false
93,Male,18,American Indian or Alaska Native,Hispanic or Latino,Some College,16138,true,true
94,Male,18,American Indian or Alaska Native,Not Hispanic or Latino,High School,10908,true,false
95,Male,29,Black or African American,Hispanic or Latino,Bachelor,62690,false,false
96,Female,66,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,48638,false,true
97,Male,31,American Indian or Alaska Native,Hispanic or Latino,Bachelor,81227,true,false
98,Female,82,Black or African American,Hispanic or Latino,Doctorate,630505,true,true
99,Male,70,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,35457,false,true
100,Female,27,American Indian or Alaska Native,Hispanic or Latino,Bachelor,89298,true,true
101,Male,25,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,GED,13011,false,false
102,Male,48,Black or African American,Not Hispanic or Latino,Master,214015,false,false
103,Female,53,Asian,Hispanic or Latino,Master,110926,false,false
104,Female,34,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,88575,false,true
105,Male,62,Black or African American,Not Hispanic or Latino,Bachelor,107210,false,true
106,Female,58,White,Not Hispanic or Latino,Doctorate,841749,false,false
107,Male,41,Asian,Not Hispanic or Latino,Doctorate,236118,false,false
108,Female,46,Black or African American,Not Hispanic or Latino,Doctorate,763170,false,true
109,Female,54,White,Hispanic or Latino,Master,112384,true,true
110,Female,55,White,Not Hispanic or Latino,Bachelor,114836,false,true
111,Male,72,American Indian or Alaska Native,Hispanic or Latino,Bachelor,39702,false,false
112,Male,20,White,Not Hispanic or Latino,Some College,17425,false,true
113,Male,29,Asian,Hispanic or Latino,Bachelor,61321,false,true
114,Male,78,White,Hispanic or Latino,Bachelor,124738,false,false
115,Male,52,White,Hispanic or Latino,Doctorate,535099,false,false
116,Male,35,Asian,Hispanic or Latino,Doctorate,531576,true,true
117,Female,52,White,Not Hispanic or Latino,Master,70080,true,true
118,Female,79,White,Hispanic or Latino,Bachelor,102282,false,true
119,Female,30,White,Not Hispanic or Latino,Master,199298,true,false
120,Female,55,White,Not Hispanic or Latino,Doctorate,182401,false,false
121,Male,26,Asian,Not Hispanic or Latino,GED,13241,false,false
122,Male,36,American Indian or Alaska Native,Not Hispanic or Latino,Master,243736,false,false
123,Female,35,Black or African American,Not Hispanic or Latino,Doctorate,650512,true,false
124,Female,48,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,57859,true,true
125,Female,33,White,Not Hispanic or Latino,Doctorate,169462,true,false
126,Female,40,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,146914,true,false
127,Male,78,Black or African American,Hispanic or Latino,Master,112809,false,true
128,Female,84,American Indian or Alaska Native,Not Hispanic or Latino,Master,209629,true,true
129,Male,74,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,54492,false,false
130,Male,26,White,Not Hispanic or Latino,GED,11752,true,false
131,Female,31,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,241582,true,false
132,Male,54,Black or African American,Hispanic or Latino,Bachelor,71096,false,true
133,Male,66,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,166572,true,true
134,Male,52,Black or African American,Not Hispanic or Latino,Master,160744,false,true
135,Male,77,Asian,Hispanic or Latino,Doctorate,136401,true,false
136,Male,83,Asian,Hispanic or Latino,Bachelor,64384,false,true
137,Female,47,Asian,Not Hispanic or Latino,Master,88239,false,true
138,Female,81,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,598511,false,true
139,Female,29,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,124421,true,true
140,Male,35,American Indian or Alaska Native,Not Hispanic or Latino,Master,156815,true,true
141,Male,33,Black or African American,Hispanic or Latino,Bachelor,97494,true,false
142,Male,39,Asian,Hispanic or Latino,Doctorate,215616,false,true
143,Male,43,American Indian or Alaska Native,Hispanic or Latino,Bachelor,98025,true,true
144,Female,71,White,Not Hispanic or Latino,Master,146459,false,true
145,Female,36,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,170010,false,false
146,Female,59,Asian,Hispanic or Latino,Master,147129,true,true
147,Female,21,Black or African American,Hispanic or Latino,High School,10043,true,false
148,Female,42,Black or African American,Not Hispanic or Latino,Bachelor,66208,true,false
149,Male,75,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,146813,true,false
150,Male,42,White,Not Hispanic or Latino,Doctorate,572049,true,false
151,Female,29,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some College,16432,true,false
152,Female,66,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,983625,true,true
153,Male,37,Asian,Hispanic or Latino,Master,94569,false,false
154,Female,38,White,Not Hispanic or Latino,Doctorate,471445,false,false
155,Female,60,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,824616,true,false
156,Male,81,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,217936,true,false
157,Male,54,Asian,Hispanic or Latino,Master,191909,true,false
158,Male,84,White,Hispanic or Latino,Master,162521,false,false
159,Female,71,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,57918,true,true
160,Male,30,Black or African American,Hispanic or Latino,Doctorate,199508,true,false
161,Male,74,White,Not Hispanic or Latino,Doctorate,288192,true,false
162,Male,73,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,234992,false,false
163,Female,63,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,85970,true,false
164,Female,73,White,Not Hispanic or Latino,Doctorate,766278,false,false
165,Female,32,Black or African American,Hispanic or Latino,Bachelor,47377,true,false
166,Male,49,Black or African American,Hispanic or Latino,Master,56511,false,true
167,Male,82,Asian,Hispanic or Latino,Bachelor,30814,false,true
168,Female,26,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,GED,13003,true,false
169,Male,44,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,760711,false,false
170,Male,54,Black or African American,Hispanic or Latino,Master,93862,false,true
171,Male,58,White,Not Hispanic or Latino,Doctorate,747336,true,true
172,Female,63,Asian,Hispanic or Latino,Master,105972,true,true
173,Male,21,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,High School,10594,true,false
174,Female,82,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,209971,true,true
175,Male,85,Asian,Hispanic or Latino,Bachelor,50218,true,true
176,Female,79,Asian,Not Hispanic or Latino,Bachelor,67729,false,false
177,Female,48,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,91703,true,false
178,Male,55,Black or African American,Not Hispanic or Latino,Master,243414,false,true
179,Female,19,Black or African American,Not Hispanic or Latino,Some College,18854,false,false
180,Female,62,White,Not Hispanic or Latino,Master,196014,true,true
181,Female,66,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,161056,true,true
182,Female,79,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,68601,false,true
183,Female,36,White,Not Hispanic or Latino,Doctorate,494450,true,false
184,Male,29,American Indian or Alaska Native,Hispanic or Latino,Bachelor,121618,true,false
185,Female,42,American Indian or Alaska Native,Hispanic or Latino,Bachelor,40648,false,true
186,Female,55,White,Not Hispanic or Latino,Doctorate,481187,true,true
187,Male,23,White,Hispanic or Latino,High School,10163,false,false
188,Male,74,Asian,Hispanic or Latino,Doctorate,824087,true,true
189,Male,75,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,237549,true,true
190,Male,69,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,149173,false,false
191,Female,26,American Indian or Alaska Native,Not Hispanic or Latino,GED,13021,true,true
192,Female,82,Black or African American,Not Hispanic or Latino,Doctorate,879684,true,false
193,Male,25,Asian,Hispanic or Latino,Some College,19777,false,true
194,Female,41,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,796373,true,false
195,Male,53,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,124381,true,true
196,Male,21,Asian,Hispanic or Latino,High School,10082,true,true
197,Female,26,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,High School,10734,true,true
198,Male,24,White,Not Hispanic or Latino,Some College,19919,false,false
199,Male,22,Black or African American,Not Hispanic or Latino,GED,11462,true,false
200,Male,85,Black or African American,Hispanic or Latino,Bachelor,74257,false,false
201,Male,67,American Indian or Alaska Native,Hispanic or Latino,Master,84140,false,false
202,Female,51,Asian,Not Hispanic or Latino,Master,177416,false,true
203,Female,40,American Indian or Alaska Native,Not Hispanic or Latino,Master,60564,false,false
204,Male,74,Asian,Hispanic or Latino,Master,53084,true,false
205,Female,48,White,Hispanic or Latino,Bachelor,32694,true,false
206,Female,56,American Indian or Alaska Native,Hispanic or Latino,Doctorate,630011,false,false
207,Female,71,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,163027,true,false
208,Female,69,Asian,Hispanic or Latino,Doctorate,648580,true,true
209,Male,73,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,99032,false,true
210,Male,30,Asian,Not Hispanic or Latino,Doctorate,504564,true,false
211,Male,24,Black or African American,Hispanic or Latino,GED,11987,false,false
212,Male,28,American Indian or Alaska Native,Not Hispanic or Latino,Some College,17180,false,false
213,Female,68,Asian,Hispanic or Latino,Bachelor,62229,false,true
214,Female,20,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,High School,10194,true,false
215,Female,27,Black or African American,Not Hispanic or Latino,Bachelor,78126,false,true
216,Male,63,White,Hispanic or Latino,Bachelor,112923,false,true
217,Male,74,Black or African American,Hispanic or Latino,Bachelor,98200,true,true
218,Male,37,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,165699,false,false
219,Male,57,Asian,Hispanic or Latino,Bachelor,86579,false,true
220,Female,58,White,Not Hispanic or Latino,Bachelor,47233,true,false
221,Female,24,Black or African American,Hispanic or Latino,GED,12769,false,true
222,Female,38,Black or African American,Hispanic or Latino,Bachelor,38606,false,true
223,Female,82,Black or African American,Hispanic or Latino,Doctorate,399689,true,false
224,Female,54,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,227941,true,false
225,Male,18,White,Hispanic or Latino,GED,12233,true,true
226,Male,73,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,96345,true,false
227,Male,40,White,Not Hispanic or Latino,Doctorate,777115,false,true
228,Female,37,Black or African American,Not Hispanic or Latino,Bachelor,33322,true,false
229,Male,70,American Indian or Alaska Native,Not Hispanic or Latino,Master,184627,true,false
230,Female,84,American Indian or Alaska Native,Hispanic or Latino,Bachelor,105782,true,false
231,Male,25,American Indian or Alaska Native,Not Hispanic or Latino,High School,10250,true,false
232,Female,40,American Indian or Alaska Native,Hispanic or Latino,Bachelor,129517,false,false
233,Male,85,Asian,Hispanic or Latino,Bachelor,109059,true,true
234,Male,18,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,GED,12757,false,false
235,Female,81,White,Hispanic or Latino,Doctorate,900573,false,false
236,Female,85,White,Not Hispanic or Latino,Bachelor,75622,false,true
237,Male,84,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,684459,true,false
238,Female,57,White,Not Hispanic or Latino,Bachelor,38832,true,true
239,Male,72,Black or African American,Hispanic or Latino,Bachelor,59153,true,false
