person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Male,46,Asian,Hispanic or Latino,Bachelor,96056,false,false
2,Female,55,Black or African American,Not Hispanic or Latino,Master,61942,false,false
3,Female,61,American Indian or Alaska Native,Hispanic or Latino,Bachelor,127056,true,true
4,Female,18,American Indian or Alaska Native,Not Hispanic or Latino,High School,10215,false,false
5,Male,45,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,209474,true,true
6,Female,52,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,216228,true,false
7,Female,82,Asian,Hispanic or Latino,Bachelor,30777,false,true
8,Male,84,Black or African American,Hispanic or Latino,Master,101540,true,false
9,Female,69,American Indian or Alaska Native,Not Hispanic or Latino,Master,86125,false,true
10,Male,26,American Indian or Alaska Native,Not Hispanic or Latino,Some College,17573,false,true
11,Male,52,White,Hispanic or Latino,Doctorate,621006,false,true
12,Female,69,White,Not Hispanic or Latino,Bachelor,83054,false,false
13,Female,39,American Indian or Alaska Native,Hispanic or Latino,Doctorate,415425,false,false
14,Female,66,American Indian or Alaska Native,Hispanic or Latino,Bachelor,106407,false,true
15,Male,81,White,Hispanic or Latino,Doctorate,740245,true,false
16,Male,24,American Indian or Alaska Native,Hispanic or Latino,GED,11527,true,false
17,Female,40,Black or African American,Hispanic or Latino,Bachelor,56680,false,false
18,Female,49,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,124759,false,false
19,Female,74,White,Not Hispanic or Latino,Bachelor,105786,true,false
20,Male,26,White,Not Hispanic or Latino,High School,10767,false,true
21,Male,45,Asian,Hispanic or Latino,Master,166907,false,true
22,Female,61,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,957546,true,false
23,Female,43,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,90276,false,false
24,Male,75,Asian,Hispanic or Latino,Bachelor,55532,true,false
25,Female,72,Asian,Hispanic or Latino,Master,130010,true,true
26,Female,74,American Indian or Alaska Native,Hispanic or Latino,Doctorate,191099,true,true
27,Male,52,American Indian or Alaska Native,Hispanic or Latino,Doctorate,600428,false,false
28,Female,66,Black or African American,Not Hispanic or Latino,Master,246529,false,true
29,Female,31,White,Hispanic or Latino,Bachelor,88467,false,false
30,Male,63,Asian,Not Hispanic or Latino,Bachelor,55618,false,false
31,Male,71,Black or African American,Hispanic or Latino,Master,153853,true,false
32,Male,43,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,79249,false,true
33,Female,32,Asian,Hispanic or Latino,Doctorate,641216,true,true
34,Female,64,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,67840,false,false
35,Female,66,Black or African American,Not Hispanic or Latino,Doctorate,562229,false,false
