person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Male,71,White,Hispanic or Latino,Bachelor,102017,false,true
2,Male,57,White,Hispanic or Latino,Doctorate,642050,true,true
3,Male,39,Asian,Hispanic or Latino,Master,57732,true,false
4,Female,31,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,80730,true,true
5,Female,23,American Indian or Alaska Native,Not Hispanic or Latino,High School,10856,true,true
6,Female,48,Black or African American,Hispanic or Latino,Bachelor,76091,false,true
7,Male,56,Black or African American,Hispanic or Latino,Doctorate,342724,false,true
8,Male,35,Black or African American,Not Hispanic or Latino,Master,223064,true,false
9,Male,19,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Some College,18523,true,true
10,Male,39,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,850548,true,false
11,Female,27,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,122220,true,true
12,Female,20,White,Hispanic or Latino,GED,11926,false,false
13,Female,47,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,576281,true,true
14,Female,76,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,219137,true,true
15,Male,20,American Indian or Alaska Native,Not Hispanic or Latino,GED,12590,true,true
16,Male,71,Black or African American,Not Hispanic or Latino,Bachelor,49800,false,false
17,Male,45,Asian,Not Hispanic or Latino,Master,208331,false,true
18,Female,42,Asian,Hispanic or Latino,Doctorate,840000,false,false
19,Female,42,Black or African American,Not Hispanic or Latino,Doctorate,1074629,false,true
20,Female,77,White,Not Hispanic or Latino,Doctorate,991005,false,true
21,Male,44,White,Hispanic or Latino,Bachelor,85781,true,true
22,Male,65,Asian,Hispanic or Latino,Doctorate,302606,true,false
23,Male,41,American Indian or Alaska Native,Not Hispanic or Latino,Master,80221,false,false
24,Female,64,Black or African American,Hispanic or Latino,Master,210265,true,true
25,Female,21,White,Hispanic or Latino,GED,11470,true,false
26,Female,44,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,126938,false,true
27,Male,58,American Indian or Alaska Native,Not Hispanic or Latino,Master,180855,true,false
28,Female,52,White,Hispanic or Latino,Bachelor,79341,true,false
29,Female,66,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,116708,true,false
30,Female,29,Black or African American,Not Hispanic or Latino,Bachelor,94779,false,false
31,Male,70,Asian,Hispanic or Latino,Doctorate,436832,true,true
32,Male,51,Black or African American,Not Hispanic or Latino,Doctorate,414474,true,false
33,Female,18,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Some College,16039,false,false
34,Female,27,White,Hispanic or Latino,Some College,16787,false,true
35,Female,46,Asian,Hispanic or Latino,Bachelor,39517,false,true
36,Female,51,American Indian or Alaska Native,Hispanic or Latino,Bachelor,79230,false,true
37,Female,81,Black or African American,Not Hispanic or Latino,Master,77380,true,false
38,Female,80,Black or African American,Hispanic or Latino,Doctorate,291374,true,false
39,Male,21,Black or African American,Hispanic or Latino,High School,10971,false,false
40,Male,64,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,244749,true,false
41,Female,67,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,129164,false,true
42,Male,49,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,103083,false,false
43,Female,54,Asian,Not Hispanic or Latino,Bachelor,64329,true,false
44,Male,63,Asian,Not Hispanic or Latino,Doctorate,983153,true,true
45,Female,55,American Indian or Alaska Native,Hispanic or Latino,Doctorate,117732,true,true
46,Male,19,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,GED,12709,true,false
47,Male,64,Black or African American,Not Hispanic or Latino,Master,120788,false,true
48,Male,61,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,1001788,false,true
49,Female,69,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,189192,true,true
50,Male,69,White,Not Hispanic or Latino,Doctorate,859352,true,false
51,Female,29,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,106775,false,false
52,Male,46,Asian,Not Hispanic or Latino,Doctorate,259253,true,false
53,Female,69,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,103806,false,true
54,Male,58,Black or African American,Hispanic or Latino,Bachelor,81019,true,false
55,Male,48,Asian,Hispanic or Latino,Bachelor,71501,true,false
56,Male,19,White,Hispanic or Latino,High School,10279,true,false
57,Female,68,White,Hispanic or Latino,Doctorate,592957,false,false
58,Female,83,American Indian or Alaska Native,Not Hispanic or Latino,Master,214290,false,true
59,Female,85,White,Hispanic or Latino,Master,58379,false,false
60,Female,25,Black or African American,Not Hispanic or Latino,GED,12775,true,true
61,Female,84,Black or African American,Hispanic or Latino,Doctorate,381367,false,true
62,Female,22,American Indian or Alaska Native,Hispanic or Latino,High School,10625,false,true
63,Male,57,White,Not Hispanic or Latino,Bachelor,79820,false,false
64,Male,76,White,Not Hispanic or Latino,Doctorate,222584,false,false
65,Female,83,Asian,Hispanic or Latino,Doctorate,347879,true,true
66,Male,79,Black or African American,Not Hispanic or Latino,Bachelor,70230,false,true
67,Male,30,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,126384,true,false
68,Male,38,Black or African American,Hispanic or Latino,Master,130751,false,false
69,Male,33,White,Hispanic or Latino,Master,180208,false,false
70,Female,85,White,Hispanic or Latino,Master,92159,false,true
71,Male,59,Black or African American,Not Hispanic or Latino,Master,93495,false,false
72,Female,76,American Indian or Alaska Native,Hispanic or Latino,Doctorate,283889,false,true
73,Female,58,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,189604,false,true
74,Male,38,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,94209,true,false
75,Male,33,Asian,Hispanic or Latino,Bachelor,116637,true,false
76,Female,62,American Indian or Alaska Native,Not Hispanic or Latino,Master,120972,false,true
77,Male,26,Asian,Hispanic or Latino,High School,10378,true,true
78,Female,44,Asian,Hispanic or Latino,Master,179278,false,false
79,Male,44,Asian,Not Hispanic or Latino,Bachelor,37517,false,true
80,Male,68,White,Not Hispanic or Latino,Doctorate,708086,true,false
81,Female,61,Asian,Not Hispanic or Latino,Doctorate,940348,false,false
82,Male,43,Black or African American,Hispanic or Latino,Master,146957,true,true
83,Female,71,Asian,Not Hispanic or Latino,Master,223602,false,true
84,Male,74,Asian,Hispanic or Latino,Doctorate,675506,true,false
85,Female,47,Black or African American,Not Hispanic or Latino,Doctorate,547036,true,true
86,Male,19,Black or African American,Not Hispanic or Latino,High School,10861,true,true
87,Male,52,White,Not Hispanic or Latino,Bachelor,113183,true,true
88,Female,59,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,112780,true,true
89,Male,55,Asian,Hispanic or Latino,Doctorate,229774,true,false
90,Male,66,Asian,Not Hispanic or Latino,Doctorate,970928,false,false
91,Male,55,Asian,Hispanic or Latino,Bachelor,40729,true,false
92,Male,39,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,118701,false,true
93,Male,24,American Indian or Alaska Native,Hispanic or Latino,GED,11988,true,true
94,Female,36,American Indian or Alaska Native,Hispanic or Latino,Doctorate,893436,false,true
95,Male,73,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,86648,false,true
96,Male,37,Black or African American,Hispanic or Latino,Master,170193,false,true
97,Female,42,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,51787,false,false
98,Female,70,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,100489,false,true
