person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Male,71,Black or African American,Not Hispanic or Latino,Bachelor,59934,false,false
2,Female,84,Black or African American,Not Hispanic or Latino,Bachelor,73080,false,false
3,Female,27,American Indian or Alaska Native,Hispanic or Latino,Bachelor,87639,true,true
4,Female,74,Black or African American,Not Hispanic or Latino,Bachelor,92885,true,false
5,Male,31,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,88834,true,false
6,Female,36,Asian,Hispanic or Latino,Bachelor,121020,true,false
7,Male,47,Asian,Not Hispanic or Latino,Master,135964,true,true
8,Male,24,White,Hispanic or Latino,High School,10614,false,true
9,Female,23,American Indian or Alaska Native,Not Hispanic or Latino,GED,12808,true,true
10,Male,33,Black or African American,Not Hispanic or Latino,Doctorate,332199,true,true
11,Male,19,Black or African American,Hispanic or Latino,High School,10245,true,false
12,Female,41,White,Hispanic or Latino,Bachelor,80641,true,false
13,Male,43,Asian,Not Hispanic or Latino,Doctorate,182756,false,true
14,Female,21,White,Hispanic or Latino,Some College,15619,false,false
15,Female,66,American Indian or Alaska Native,Hispanic or Latino,Doctorate,246675,true,true
16,Male,63,White,Hispanic or Latino,Doctorate,932675,true,false
17,Male,64,Asian,Hispanic or Latino,Master,59319,true,true
18,Male,27,American Indian or Alaska Native,Hispanic or Latino,Some College,16902,true,true
19,Male,82,Asian,Hispanic or Latino,Doctorate,806971,true,true
20,Female,63,Asian,Not Hispanic or Latino,Bachelor,84526,true,false
21,Female,50,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,110824,false,false
22,Female,41,Black or African American,Not Hispanic or Latino,Master,156127,false,true
23,Male,39,Black or African American,Not Hispanic or Latino,Bachelor,51069,false,false
24,Female,34,White,Hispanic or Latino,Master,105461,false,false
25,Male,40,American Indian or Alaska Native,Hispanic or Latino,Master,74719,false,true
26,Male,21,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,High School,10214,true,true
27,Female,40,Black or African American,Not Hispanic or Latino,Bachelor,120255,true,true
28,Male,40,White,Not Hispanic or Latino,Doctorate,307023,false,false
29,Female,43,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,921185,false,true
30,Female,28,American Indian or Alaska Native,Hispanic or Latino,Bachelor,55648,false,true
31,Male,18,Black or African American,Not Hispanic or Latino,Some College,18817,false,true
32,Male,69,Asian,Not Hispanic or Latino,Bachelor,92771,false,true
33,Female,64,American Indian or Alaska Native,Hispanic or Latino,Bachelor,51462,false,false
34,Female,71,Asian,Not Hispanic or Latino,Master,209460,false,false
35,Male,83,American Indian or Alaska Native,Hispanic or Latino,Bachelor,95889,false,false
36,Female,82,White,Not Hispanic or Latino,Bachelor,41298,false,false
37,Female,73,Black or African American,Not Hispanic or Latino,Doctorate,147991,false,false
38,Female,70,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,36586,true,false
39,Male,63,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,69989,true,false
40,Male,20,Black or African American,Hispanic or Latino,Some College,15855,false,true
41,Male,65,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,55919,true,false
42,Male,80,Black or African American,Not Hispanic or Latino,Bachelor,106615,false,true
43,Male,34,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,204070,false,true
44,Female,58,Black or African American,Not Hispanic or Latino,Master,230252,true,false
45,Male,73,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,223391,true,true
46,Male,19,Black or African American,Hispanic or Latino,High School,10767,true,true
47,Female,63,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,827066,true,false
48,Male,43,White,Hispanic or Latino,Doctorate,527897,true,true
49,Female,27,American Indian or Alaska Native,Not Hispanic or Latino,Some College,19573,true,false
50,Female,60,American Indian or Alaska Native,Hispanic or Latino,Doctorate,383184,false,true
51,Female,36,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,62753,false,true
52,Female,41,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,363486,true,false
53,Female,70,Black or African American,Hispanic or Latino,Doctorate,615921,false,false
54,Female,19,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,GED,11903,true,true
55,Female,30,White,Hispanic or Latino,Bachelor,61670,false,true
56,Female,62,Asian,Hispanic or Latino,Master,152656,false,false
57,Male,84,Black or African American,Not Hispanic or Latino,Bachelor,123426,true,true
58,Male,50,American Indian or Alaska Native,Hispanic or Latino,Bachelor,113343,true,false
59,Female,81,White,Hispanic or Latino,Master,102050,false,false
60,Male,67,Black or African American,Not Hispanic or Latino,Doctorate,954657,false,true
61,Male,42,American Indian or Alaska Native,Hispanic or Latino,Doctorate,597059,false,false
62,Male,53,Asian,Not Hispanic or Latino,Doctorate,280227,false,false
63,Female,77,Asian,Not Hispanic or Latino,Doctorate,837633,true,true
64,Male,69,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,172571,false,false
65,Female,43,Asian,Not Hispanic or Latino,Bachelor,47270,false,true
66,Male,31,Asian,Not Hispanic or Latino,Bachelor,75716,true,true
67,Male,64,Black or African American,Not Hispanic or Latino,Master,98657,true,true
68,Female,74,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,754112,false,false
69,Female,28,American Indian or Alaska Native,Not Hispanic or Latino,Some College,17366,false,true
70,Male,53,Asian,Not Hispanic or Latino,Doctorate,340760,false,true
71,Male,46,Asian,Not Hispanic or Latino,Doctorate,1025458,true,false
72,Female,65,American Indian or Alaska Native,Hispanic or Latino,Master,97105,false,false
73,Female,26,White,Hispanic or Latino,GED,11250,true,false
74,Male,46,Asian,Not Hispanic or Latino,Master,89356,true,true
75,Male,29,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some College,18632,false,true
76,Male,25,Asian,Hispanic or Latino,Some College,17206,true,false
77,Male,35,Black or African American,Not Hispanic or Latino,Bachelor,65948,true,false
78,Male,18,White,Not Hispanic or Latino,High School,10647,false,true
79,Female,18,American Indian or Alaska Native,Hispanic or Latino,Some College,18469,true,false
80,Female,31,White,Not Hispanic or Latino,Bachelor,93047,true,true
81,Female,58,Asian,Hispanic or Latino,Doctorate,547312,false,true
82,Female,65,Asian,Not Hispanic or Latino,Bachelor,109647,false,true
83,Male,20,American Indian or Alaska Native,Hispanic or Latino,Some College,15771,false,false
84,Male,40,Asian,Not Hispanic or Latino,Bachelor,109212,true,true
85,Female,42,Asian,Not Hispanic or Latino,Doctorate,239601,false,false
86,Male,29,American Indian or Alaska Native,Not Hispanic or Latino,Bachelor,125335,false,true
87,Female,81,Black or African American,Hispanic or Latino,Doctorate,503944,true,true
88,Male,27,Black or African American,Not Hispanic or Latino,Bachelor,81407,false,false
89,Male,42,American Indian or Alaska Native,Hispanic or Latino,Bachelor,113186,false,false
90,Female,21,American Indian or Alaska Native,Not Hispanic or Latino,GED,12815,false,false
91,Female,32,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,131333,true,true
92,Female,31,Asian,Not Hispanic or Latino,Master,237090,true,true
93,Female,84,Asian,Hispanic or Latino,Master,59509,true,false
94,Male,46,Black or African American,Hispanic or Latino,Doctorate,152061,false,false
95,Female,53,Black or African American,Hispanic or Latino,Doctorate,99385,true,true
96,Male,20,White,Not Hispanic or Latino,GED,11966,true,true
97,Male,44,American Indian or Alaska Native,Hispanic or Latino,Doctorate,281635,true,false
98,Female,41,Asian,Hispanic or Latino,Doctorate,554245,false,true
99,Male,34,Asian,Hispanic or Latino,Master,93960,false,false
100,Female,35,Asian,Hispanic or Latino,Bachelor,86282,false,false
101,Female,52,Asian,Not Hispanic or Latino,Master,240104,true,false
102,Female,21,Black or African American,Hispanic or Latino,Some College,19377,true,true
103,Female,31,Asian,Not Hispanic or Latino,Doctorate,836655,true,false
104,Male,48,White,Hispanic or Latino,Doctorate,258286,true,false
105,Female,46,Black or African American,Hispanic or Latino,Master,137377,false,true
106,Female,47,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,958836,false,true
107,Female,23,White,Hispanic or Latino,High School,10167,false,true
108,Male,42,White,Not Hispanic or Latino,Master,175429,true,false
109,Male,67,White,Hispanic or Latino,Doctorate,909444,true,false
110,Female,51,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,113404,false,true
111,Male,78,Asian,Not Hispanic or Latino,Bachelor,40880,true,false
112,Female,59,Asian,Hispanic or Latino,Bachelor,111910,false,true
113,Female,51,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,84816,false,false
114,Female,72,Asian,Not Hispanic or Latino,Master,54776,false,false
115,Female,21,Black or African American,Not Hispanic or Latino,Some College,15169,false,true
116,Female,32,American Indian or Alaska Native,Not Hispanic or Latino,Master,164705,false,true
117,Male,49,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,222084,false,false
118,Male,25,Asian,Hispanic or Latino,Some College,17129,true,false
119,Male,25,White,Not Hispanic or Latino,GED,12970,false,false
120,Female,28,White,Hispanic or Latino,Bachelor,53731,true,true
121,Male,28,Asian,Not Hispanic or Latino,Some College,17280,true,false
122,Female,48,White,Not Hispanic or Latino,Bachelor,70909,true,true
123,Male,25,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,GED,12582,true,true
124,Female,32,White,Not Hispanic or Latino,Doctorate,501271,true,true
125,Male,84,Black or African American,Not Hispanic or Latino,Bachelor,127517,true,false
126,Male,40,Asian,Not Hispanic or Latino,Doctorate,830508,true,false
127,Male,70,American Indian or Alaska Native,Not Hispanic or Latino,Master,215163,false,false
128,Female,55,White,Not Hispanic or Latino,Doctorate,837418,false,true
129,Female,28,Black or African American,Not Hispanic or Latino,Some College,15467,false,false
130,Female,31,Black or African American,Hispanic or Latino,Master,190998,false,true
131,Male,28,Asian,Not Hispanic or Latino,Some College,15106,true,true
132,Male,18,Asian,Not Hispanic or Latino,Some College,18374,true,false
